trial_index,group_id,trial_in_group,alpha,label_digit,label_type,show_time,image_path
120,2,0,0.2,3,normal,0.5,stimuli_master_pool/alpha_0.20/a0.20_rank084.png
121,2,1,0.42,3,normal,0.7,stimuli_master_pool/alpha_0.42/a0.42_rank606.png
122,2,2,0.52,8,abnormal,1.0,stimuli_master_pool/alpha_0.52/a0.52_rank452.png
123,2,3,0.38,3,normal,0.5,stimuli_master_pool/alpha_0.38/a0.38_rank194.png
124,2,4,0.56,8,abnormal,0.7,stimuli_master_pool/alpha_0.56/a0.56_rank109.png
125,2,5,0.0,3,normal,1.0,stimuli_master_pool/alpha_0.00/a0.00_rank138.png
126,2,6,0.34,3,normal,0.5,stimuli_master_pool/alpha_0.34/a0.34_rank103.png
127,2,7,0.58,8,abnormal,0.7,stimuli_master_pool/alpha_0.58/a0.58_rank180.png
128,2,8,0.1,3,normal,1.0,stimuli_master_pool/alpha_0.10/a0.10_rank072.png
129,2,9,0.9,8,abnormal,0.5,stimuli_master_pool/alpha_0.90/a0.90_rank034.png
130,2,10,0.38,3,normal,0.7,stimuli_master_pool/alpha_0.38/a0.38_rank319.png
131,2,11,0.46,3,normal,1.0,stimuli_master_pool/alpha_0.46/a0.46_rank188.png
132,2,12,0.7,8,abnormal,0.5,stimuli_master_pool/alpha_0.70/a0.70_rank123.png
133,2,13,0.34,3,normal,0.7,stimuli_master_pool/alpha_0.34/a0.34_rank146.png
134,2,14,0.42,3,normal,1.0,stimuli_master_pool/alpha_0.42/a0.42_rank349.png
135,2,15,0.8,8,abnormal,0.5,stimuli_master_pool/alpha_0.80/a0.80_rank052.png
136,2,16,0.58,8,abnormal,0.7,stimuli_master_pool/alpha_0.58/a0.58_rank045.png
137,2,17,0.9,8,abnormal,1.0,stimuli_master_pool/alpha_0.90/a0.90_rank074.png
138,2,18,0.54,8,abnormal,0.5,stimuli_master_pool/alpha_0.54/a0.54_rank355.png
139,2,19,0.7,8,abnormal,0.7,stimuli_master_pool/alpha_0.70/a0.70_rank500.png
140,2,20,0.1,3,normal,1.0,stimuli_master_pool/alpha_0.10/a0.10_rank001.png
141,2,21,0.34,3,normal,0.5,stimuli_master_pool/alpha_0.34/a0.34_rank033.png
142,2,22,0.8,8,abnormal,0.7,stimuli_master_pool/alpha_0.80/a0.80_rank223.png
143,2,23,0.42,3,normal,1.0,stimuli_master_pool/alpha_0.42/a0.42_rank267.png
144,2,24,0.38,3,normal,0.5,stimuli_master_pool/alpha_0.38/a0.38_rank004.png
145,2,25,0.7,8,abnormal,0.7,stimuli_master_pool/alpha_0.70/a0.70_rank080.png
146,2,26,0.2,3,normal,1.0,stimuli_master_pool/alpha_0.20/a0.20_rank171.png
147,2,27,0.8,8,abnormal,0.5,stimuli_master_pool/alpha_0.80/a0.80_rank073.png
148,2,28,0.1,3,normal,0.7,stimuli_master_pool/alpha_0.10/a0.10_rank121.png
149,2,29,0.42,3,normal,1.0,stimuli_master_pool/alpha_0.42/a0.42_rank441.png
150,2,30,0.54,8,abnormal,0.5,stimuli_master_pool/alpha_0.54/a0.54_rank227.png
151,2,31,0.64,8,abnormal,0.7,stimuli_master_pool/alpha_0.64/a0.64_rank452.png
152,2,32,0.3,3,normal,1.0,stimuli_master_pool/alpha_0.30/a0.30_rank038.png
153,2,33,0.1,3,normal,0.5,stimuli_master_pool/alpha_0.10/a0.10_rank143.png
154,2,34,0.34,3,normal,0.7,stimuli_master_pool/alpha_0.34/a0.34_rank267.png
155,2,35,0.9,8,abnormal,1.0,stimuli_master_pool/alpha_0.90/a0.90_rank046.png
